Lang_Id,likely_subtag,LangName,regions,variants,ROD,RODs,Macro,unwritten,obsolete,deprecated,areas,ISO 639-3,confirmed,Date modified,comments
aes,aes-Zyyy-US,Alsea,US,,,,,1,,,NAM,aes,LE,10-Jan-2018,Extinct
aeu,aeu-Latn-CN,Akeu,CN LA MM TH,,,,,,,,EAS SEA,aeu,SVW,31-Oct-2017,"May be two different Roman script orthographies in use, one in China and one based more on Paul Lewis' Akha orthography. Not sure how different they are or whether they need to have separate language tags or not."
aew,aew-Latn-PG,Ambakich,PG,,,,,1,,,MEL,aew,LE,10-Jan-2018,
aey,aey-Latn-PG,Amele,PG,,,,,,,,MEL,aey,LE,10-Jan-2018,
aez,aez-Latn-PG,Aeka,PG,,,00606 02703,,,,,MEL,aez,LE,10-Jan-2018,
af,af-Latn-ZA,Afrikaans,AU BE BW CA DE GB MW NA NL NZ SZ US ZA ZM ZW,,,,,,,,ANZ EAF NAM NEU SAF WEU,afr,CLDR,,
af-Arab,af-Arab-ZA,Afrikaans,AU BE BW CA DE GB MW NA NL NZ SZ US ZA ZM ZW,,,,,,,,ANZ EAF NAM NEU SAF WEU,afr,,,
af-Brai,af-Brai-ZA,Afrikaans,AU BE BW CA DE GB MW NA NL NZ SZ US ZA ZM ZW,,,,,,,,ANZ EAF NAM NEU SAF WEU,afr,,,
afb,afb-Arab-KW,"Arabic, Gulf Spoken",AE BH EG IQ IR KW OM QA SA YE,,,,,,,,NAF SAS WAS,afb,,,
afd,afd-Latn-PG,Andai,PG,,,,,1,,,MEL,afd,LE,10-Jan-2018,
afe,afe-Latn-NG,Utugwang-Irungene-Afrike,NG,,,02197 02303 02305 04987,,,,,WAF,afe,,,
afg,afg-Zxxx-AF,Afghan Sign Language,AF,,,,,,,,SAS,afg,LE,3-Dec-2018,
afh,afh-Latn-GH,Afrihili,GH,,,,,1,,,WAF,afh,LE,30-Jan-2018,Constructed
afi,afi-Latn-PG,Chini,PG,,,,,1,,,MEL,afi,LE,10-Jan-2018,
afk,afk-Latn-PG,Nanubae,PG,,,,,1,,,MEL,afk,LE,10-Jan-2018,
afn,afn-Latn-NG,Defaka,NG,,,,,1,,,WAF,afn,,,
afo,afo-Latn-NG,Eloyi,NG,,,,,,,,WAF,afo,,,
afp,afp-Latn-PG,Tapei,PG,,,,,1,,,MEL,afp,LE,10-Jan-2018,
afs,afs-Latn-MX,Afro-Seminole Creole,MX US,,,,,1,,,CAM NAM,afs,LE,9-Jan-2018,
aft,aft-Zyyy-SD,Afitti,SD,,,,,1,,,NAF,aft,,,
afu,afu-Latn-GH,Awutu,GH,,,06098,,,,,WAF,afu,LE,12-Jan-2018,
afz,afz-Latn-ID,Obokuitai,ID,,,,,,,,SEA,afz,,20-Apr-2018,
aga,aga-Latn-PE,Aguano,PE,,,,,1,,,SAM,aga,LE,10-Jan-2018,Extinct
agb,agb-Latn-NG,Legbo,NG,,,,,1,,,WAF,agb,,,
